SMILES	RTs
C1=CN(N=C1)CC(C(=O)[O-])[NH3+]	452.50302
C1=CC(=CC=C1C(CC(=O)O)N)O	445.39098
C1=CC(=C(C=C1CC(C(=O)O)N)N)O	483.70704
CC(CCCC(C)C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)NCCN(C)C)C)C	140.38998
C1=CC(=C(C=C1CC(C(=O)O)N)Cl)O	427.896
C1C(OC(C1O)N2C=CC(=O)NC2=O)CO	171.97698
C1=CC(=C(C(=C1)O)N)C(=O)O	88.61898
C1=CC(=CC(=C1)O)C=O	70.76502
C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)[O-])[NH3+]	441.291
C1=CC(=CC(=C1)O)CC(C(=O)[O-])[NH3+]	446.52798
C(CCCC(=O)O)CCC(CC(=O)O)O	152.967
C1=CC=C2C(=C1)C(=CN2)CC(=O)O	79.76298
C1=CC=C2C(=C1)C(=CN2)CC#N	481.42998
C1=CC=C2C(=C1)C(=CN2)CCC(=O)O	76.52898
CC(=CC(=O)NCC(=O)O)C	177.18498
CN1C(=N)C=CN(C1=O)C2C(C(C(O2)CO)O)O	419.46204
CN1C=NC=C1CC(C(=O)O)N	564.52398
CC1C2=CC=CC=C2NC1=O	64.36902
CSCCCN	309.59502
C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O	412.629
C(CP(=O)(O)O)C(=O)O	515.442
C1=CC(=CN=C1)CO	84.64602
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O	75.945
CC(=O)CCCC(=O)O	74.328
CC(=O)CC(C)(C)O	292.88802
CC1=CC(=CC(=O)O1)O	88.16298
C1=CC(=CC=C1C=O)O	70.605
C1=CC(=CC=C1C(=O)NCC(=O)O)O	351.77304
C1=CC(=CC=C1C(C#N)O)O	157.67202
CC(C1=CC=C(C=C1)O)O	481.608
C1=CC(=CC=C1CC(=O)C(=O)O)O	73.37298
C1=CC=C2C(=C1)C(=O)C=CN2	101.547
CC1=C(SC=N1)CCO	72.82002
CC1=CC(=O)OC2=C1C=CC(=C2)O	72.97902
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C	63.774
C1=CC=C2C(=C1)C(=CC=[N+]2[O-])[N+](=O)[O-]	68.62902
C1=CC=C2C(=C1)C(=CC=N2)C(=O)O	274.704
C1=CN(C(=O)NC1=S)C2C(C(C(O2)CO)O)O	136.41102
C[N+](C)(C)CCCC(=O)O	459.603
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COC)O	87.89502
C1CNC(=O)NC1=O	105.93702
CC1=CC2=C(C=C1C)N=CN2	109.428
C1=NC(=C(N1)C(=O)N)N	250.72698
C1=CC(=C(C=C1N)C(=O)O)O	233.24802
C1=C(C=NC(=O)N1)F	106.39698
C1=NC(=O)NC(=C1F)N	277.032
C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	106.50402
C1=C(C(=NC(=O)N1C2C(C(C(O2)CO)O)O)N)CO	452.39196
C1=NC(=O)NC(=C1CO)N	414.294
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)[O-])[NH3+]	448.82598
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3	64.48902
COC1=CC2=C(C=C1)NC=C2CCN	299.45202
COC1=CC2=C(C=C1)NC=C2CCO	70.764
COC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O	282.96798
CC1=CN(C(=S)NC1=O)C2C(C(C(O2)CO)O)O	119.025
CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	383.43102
CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O	251.28198
CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN	204.126
C1=CC(=O)OC2=CC(=C(C=C21)O)O	88.40202
C1=CC2=C(C=C1N)NN=C2	75.80598
C(CCC(=O)O)CCO	80.38998
C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O	75.54798
CC(CCC=C(C)C)O	438.18402
CSC1=NC=NC2=C1NC=N2	89.58
CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O	430.527
CN1C=[N+](C2=C1C(=O)N=C(N2)N)C3C(C(C(O3)CO)O)O	440.217
C1C(C(OC1N2C3=C(C(=NC=N3)N)NC2=O)CO)O	306.31098
CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C	66.801
CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	79.55298
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO	592.917
CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O	463.56402
CC(=O)NC1=CC=C(C=C1)O	82.437
CC(=O)NC1=CC=CC=C1	66.51798
CC(=O)NO	176.40402
CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	61.72602
CC(=O)NC1=CC=C(C=C1)CC(=O)O	95.049
C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O	456.97998
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O	533.04702
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)OP(=O)(O)O)O	532.51698
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O	286.05498
CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4=O)C	66.15402
CC(C)CC(C(=O)O)NC(=O)C(C)N	456.09996
CC(C(=O)NC(C(C)C)C(=O)O)N	459.82398
CC(C(=O)O)N	482.991
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	73.239
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	332.835
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC	257.18598
C(C(=O)O)(NC(=O)N)NC(=O)N	513.86796
CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C	251.42502
C(C1C(C(C(C(O1)OP(=O)(O)O)N)O)O)O	423.68598
C=C1CCOC1=O	62.74698
CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C	64.38798
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4	80.66202
C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=S	158.40702
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NC1=CC=C(C=C1)O	58.118004
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I	57.963
C1C2CC3CC1CC(C2)(C3)N	292.97202
C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N	331.34598
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I	111.996
CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC	165.80298
CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N	108.36702
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN	254.22198
CC(CC1=CC=CC=C1)N	276.114
CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3	56.977002
C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31	109.36602
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N	58.744002
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C	65.616
CN1C=NC=C1CC(C(=O)O)NC(=O)CCN	569.14998
CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CC(=C(C=C1)O)O	68.547
CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C	326.73402
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl	188.13402
C(CC(=O)O)C(C(=O)O)NC(=O)C(CC(=O)O)N	567.98202
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N	488.376
CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2	144.999
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	259.161
CN1C(=O)COC2=C1C=C(C=C2C(=O)NC3CN4CCC3CC4)Cl	279.70602
C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O	290.95002
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C	75.34002
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O	129.56598
CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O	79.602
CC1=C(C(C(=C(N1)C)C(=O)OC2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC	87.84198
CC(COC1=CC=CC=C1CC2=CC=CC=C2)N3CCCCC3	119.304
C1=CC=C(C=C1)C(=O)N	75.945
C1=CC=C2C(=C1)N=CS2	66.45102
CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2	122.49402
CC(=O)OCC1=CC=CC=C1	522.46902
CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O	358.581
C(CN)C(=O)O	481.09398
CNCC(C(=O)O)N	559.43496
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O	182.7
CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2	147.81198
C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4	71.59602
C1CCC2(C1)CC(=O)N(C(=O)C2)CCNCC3COC4=CC=CC=C4O3	108.207
CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O	208.26198
C(=O)(N)NC(=O)N	163.713
C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3	77.79402
COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC	274.458
COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC	140.29002
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	132.90702
CCCC(=O)O	611.19
C(CCN)CCN	539.52702
C1=CC(=C(C=C1C=CC(=O)O)O)O	108.543
C(CON=C(N)N)C(C(=O)[O-])[NH3+]	565.21302
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	59.896998
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	72.762
C(C(C(=O)O)N)SCC(=O)O	542.19498
C1=C(NC=N1)CC(C(=O)[O-])NC(=O)CC[NH3+]	572.21796
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O	190.299
C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl	336.43098
C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4	478.86198
C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O	416.481
C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O	467.466
CC(C)OC(=O)OC(C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)C(=NOC)C3=CSC(=N3)N)COC	67.11198
CC(C)C1=C(C(=C(C(=N1)C(C)C)C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)COC	71.07198
C1CC(CCC1C[NH3+])C(=O)OC2=CC=C(C=C2)CCC(=O)[O-]	317.313
CN1CCN(CC1)C2=NC3=C(C=CC(=C3)C(F)(F)F)N4C2=CC=C4	132.37098
C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N	63.92898
CC(=C)CN1CCC23C4C5=C(CC2(C1CC6=C3C(=C(C=C6)O)O4)O)C7=CC=CC=C7N5	175.593
CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O	81.255
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2	152.36298
CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C	457.644
CN(C)CCCSC1=CC=CC=C1NC(=O)C=CC2=CC=CC=C2	156.36198
C1=CC=C(C=C1)C=CC=O	550.87002
COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F	136.75098
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F	132.702
C(CC(C(=O)O)N)CNC(=O)N	524.66598
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O	116.85102
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O	179.79402
CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3	65.73798
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl	367.851
CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl	107.00202
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl	138.447
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	171.135
CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3	127.09098
COC1=C(C=CC(=C1)C=CC=O)O	68.23698
C1C(OC(C1O)N2C=NC3=C2N=CN=C3N)CO	212.42202
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O	75.162
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C	68.77098
CC1C2C3=CC(=C(C=C3CCN2CC4=C1C=CC(=C4OC)OC)OC)OC	91.00998
C1=CC=C2C(=C1)C=CC(=O)O2	64.839
CCN(C1=CC=CC=C1C)C(=O)C=CC	58.018998
CC(C)CC1C(=O)N2CCCC2C(=O)N1	77.15202
C1CCC(CC1)N	306.003
CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1	138.54798
C(C(C(=O)O)N)S(=O)(=O)O	535.30302
C(C(C(=O)O)N)S	318.876
C(C(C(=O)[O-])[NH3+])SSCC(C(=O)[O-])[NH3+]	598.194
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	403.29402
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	568.81398
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O	410.946
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O	83.436
CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C	69.73302
C(CC(C(=O)O)N)C(CN)O	586.15002
C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4	294.18102
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C	68.04198
CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2	153.576
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2	152.47602
CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O	232.26102
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3	66.03702
CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl	65.47902
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	64.986
CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	64.33698
CC(CCNC1=NC=NC2=C1NC=N2)CO	179.454
COC(=O)C1=CC=CC=C1C(=O)OC	62.65902
CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC	57.460998
CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4	84.68202
C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3	60.747
CCN(CC)C(=S)SSC(=S)N(CC)CC	55.602
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	80.20698
CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C	202.812
C1C2CC(CC3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54	114.15702
COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC	146.59398
C1=CC(=C(C=C1CCN)O)O	383.83302
CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4	98.35698
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31	135.80598
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O	361.01904
CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C	147.09102
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F	208.66602
CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32	155.90202
CC1=NC(=CC=C1)CCN2CCC(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C	175.03698
CC=C1C(CC(N1C)C)(C2=CC=CC=C2)C3=CC=CC=C3	114.24498
CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O	423.95298
CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F	198.76098
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O	610.1088
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O	355.40502
C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O	71.44602
C[N+](C)(C)C(CC1=CN=C(N1)[S-])C(=O)O	464.66202
CCCCCCCCC=CCCCCCCCCCCCC(=O)N	63.61998
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F	132.14202
CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O	188.07198
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC	80.82
C(CO)N	428.95902
CCCC(=O)OCC	292.80504
CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2	58.965
CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	77.83398
CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C	58.993998
C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O	61.72002
CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C	82.57002
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N	335.58198
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N	71.847
CCNC(C)CC1=CC(=CC=C1)C(F)(F)F	140.055
C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O	340.79298
CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl	60.897
COC1=C(C=CC(=C1)C=CC(=O)O)O	85.06902
CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C	70.35102
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O	571.45902
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F	69.50802
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	64.617
CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F	62.71302
C1C2=CC=CC=C2C3=CC=CC=C31	399.753
CN1CCN(CC1)C2=NC3=C(CC4=CC=CC=C42)C=CC(=C3)F	137.98998
C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO	164.535
CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F	144.435
COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F	175.85502
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	474.97698
COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O	70.91898
CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O	310.974
CC(=CC=CC=C(C)C=CC=C(C)C(=O)CC12C(O1)(CC(CC2(C)C)O)C)C=CC=C(C)C=C=C3C(CC(CC3(C)C)OC(=O)C)(C)O	64.02
CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N	206.83098
CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O	277.032
C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N	538.86198
C(CC(=O)NC(CCC(=O)N)C(=O)O)C(C(=O)O)N	572.724
C1=CC(=CC=C1CC(C(=O)O)NC(=O)CCC(C(=O)O)N)O	511.20798
CC(=CCCC(=CC(=O)O)C)C	78.24
CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C	62.98698
CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CCC(=O)O)N	459.49296
C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O	603.8082
C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O	576.486
C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O	591.50502
C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N	610.1088
C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N	539.06502
C(C(=O)NCC(=O)NCC(=O)O)N	550.87002
CCC(C)C(C(=O)O)NC(=O)CN	460.05102
CC(C(=O)[O-])NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C[NH3+]	473.62704
C1=CC(=CC=C1CC(C(=O)O)NC(=O)CN)O	484.25898
C(C(=O)[O-])[NH3+]	499.91796
